stt,logo_name,company_name,location,field,people,country,working_day,time
331,logo-331.png,Live1,"District 1, Ho Chi Minh",Outsourcing,18264,Vietnam,Monday - Friday,No OT
332,logo-332.png,IPROSYS,"Binh Thanh, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
333,logo-333.png,DEVBLOCK VIETNAM,"Tan Binh, Ho Chi Minh",Outsourcing,51-150,United States,Monday - Friday,none
334,logo-334.png,Relationshop Inc.,"Binh Thanh, Ho Chi Minh",Product,18264,United States,Monday - Friday,No OT
335,logo-335.png,TADA Technologies,"District 2, Ho Chi Minh",Product,18264,"Korea, Republic of",Monday - Friday,No OT
336,logo-336.png,Officience,"District 10, Ho Chi Minh",Outsourcing,151-300,France,Monday - Friday,No OT
337,logo-337.png,RnD4U,"Ho Chi Minh, Da Nang",Product,18264,Czechia,Monday - Friday,No OT
338,logo-338.png,Bambooship,"Phu Nhuan, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
339,logo-339.png,MIANMI,"Ho Chi Minh, Ha Noi",Product,18264,Vietnam,Monday - Friday,No OT
340,logo-340.png,LittleLives,"District 10, Ho Chi Minh",Product,51-150,Singapore,Monday - Friday,No OT
341,logo-341.png,Shinhan Finance Vietnam,Ho Chi Minh,Product,1000+,Vietnam,Monday - Friday,No OT
342,logo-342.png,Teqnological Asia,"Tan Binh, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,No OT
343,logo-343.png,CÔNG TY TNHH FINAN,"Binh Thanh, Ho Chi Minh",Product,51-150,Singapore,Monday - Friday,No OT
344,logo-344.png,Theodore Alexander HCM,"Thu Duc, Ho Chi Minh",Product,301-500,United States,Monday - Friday,No OT
345,logo-345.png,Rich Products Vietnam,"District 5, Ho Chi Minh",Product,301-500,Vietnam,Monday - Friday,none
346,logo-346.png,Công ty Cổ phần Kho bãi & Giao nhậnT&C,"Tan Binh, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
347,logo-347.png,JOURNEYHORIZON,"District 5, Ho Chi Minh",Outsourcing,18264,Vietnam,Monday - Friday,No OT
348,logo-348.png,EyeClick,"District 2, Ho Chi Minh",Product,18264,United States,Monday - Friday,No OT
349,logo-349.png,Hello Health Group,"District 1, Ho Chi Minh",Product,151-300,Singapore,Monday - Friday,No OT
350,logo-350.png,APAC Pro,"Phu Nhuan, Ho Chi Minh",Outsourcing,18264,Vietnam,Monday - Friday,No OT
351,logo-351.png,Bridgetek Viet Nam,"Phu Nhuan, Ho Chi Minh",Product,301-500,Singapore,Monday - Friday,No OT
352,logo-352.png,User Experience Researchers,"Ho Chi Minh, Others",Outsourcing,18264,Singapore,Monday - Friday,No OT
353,logo-353.png,DIGIHUBS JSC,"Tan Binh, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
354,logo-354.png,Viet A Bank,"Ha Noi, Ho Chi Minh",Product,1000+,Vietnam,Monday - Saturday,No OT
355,logo-355.png,NEXLAB TECHNOLOGY,"Tan Binh, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
356,logo-356.png,Vinova,"Ho Chi Minh, Ha Noi",Outsourcing,51-150,Singapore,Monday - Friday,Extra salary for OT
357,logo-357.png,POC Pharma VietNam,"District 1, Ho Chi Minh",Product,18264,Hong Kong,Monday - Friday,No OT
358,logo-358.png,SKARGON,"District 4, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
359,logo-359.png,N.A.M,"Tan Binh, Ho Chi Minh",Outsourcing,18264,Vietnam,Monday - Friday,Extra salary for OT
360,logo-360.png,S3 Innovate Pte. Ltd.,Ho Chi Minh,Product,51-150,Singapore,Monday - Friday,No OT
361,logo-361.png,Open Fabric,"Others, Ho Chi Minh",Product,18264,Singapore,Monday - Friday,No OT
362,logo-362.png,Docosan,Ho Chi Minh,Product,18264,United States,Monday - Friday,No OT
363,logo-363.png,Public Bank Vietnam,"Ha Noi, Ho Chi Minh",Outsourcing,501-1000,Vietnam,Monday - Friday,none
364,logo-364.png,Lisa,"District 1, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
365,logo-365.png,"MOJA Co., Ltd.","Binh Thanh, Ho Chi Minh",Outsourcing,18264,Japan,Monday - Friday,Extra salary for OT
366,logo-366.png,Gsoft,"Ho Chi Minh, Ha Noi",Product,51-150,Vietnam,Monday - Friday,No OT
367,logo-367.png,EQONEX Group,"Ho Chi Minh, Ha Noi, Da Nang",Product,151-300,Hong Kong,Monday - Friday,No OT
368,logo-368.png,SunDigi,"Tan Binh, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
369,logo-369.png,Control Union Vietnam,"Thu Duc, Ho Chi Minh",Product,151-300,Vietnam,Monday - Friday,No OT
370,logo-370.png,Sosene Software,"Tan Binh, Ho Chi Minh",Outsourcing,18264,Czechia,Monday - Friday,No OT
371,logo-371.png,VietUnion (Payoo),"District 1, Ho Chi Minh",Product,301-500,Vietnam,Monday - Friday,No OT
372,logo-372.png,Saaspiens,"District 10, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
373,logo-373.png,Flight Centre Travel Group,"Thu Duc City, Ho Chi Minh",Product,18264,Australia,Monday - Friday,No OT
374,logo-374.png,SPARKMINDS,"Tan Binh, Ho Chi Minh",Outsourcing,18264,Vietnam,Monday - Friday,No OT
375,logo-375.png,Worknetics Pte Ltd,"District 4, Ho Chi Minh",Product,18264,Singapore,Monday - Friday,No OT
376,logo-376.png,Hydra X,"Binh Thanh, Ho Chi Minh",Product,18264,Singapore,Monday - Friday,No OT
377,logo-377.png,ECOMBEST LLC,"Tan Binh, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
378,logo-378.png,Fitness & Lifestyle Group (FLG) Viet Nam,"District 4, Ho Chi Minh",Product,1000+,Vietnam,Monday - Friday,No OT
379,logo-379.png,VIETJETAIR CARGO JSC,"Tan Binh, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,No OT
380,logo-380.png,OLMO Technology,"District 7, Ho Chi Minh",Product,18264,Singapore,Monday - Friday,No OT
381,logo-381.png,VIHAT Technology,"Thu Duc, Ho Chi Minh",Product,151-300,Vietnam,Monday - Saturday,No OT
382,logo-382.png,Shift Asia Vietnam,"District 1, Ho Chi Minh",Outsourcing,151-300,Japan,Monday - Friday,Extra salary for OT
383,logo-383.png,Lac Viet Computing Corporation,"Phu Nhuan, Ho Chi Minh",Product,301-500,Vietnam,Monday - Friday,No OT
384,logo-384.png,"Lotte Data Communicaton Co., Ltd Vietnam","Ha Noi, Ho Chi Minh",Product,151-300,"Korea, Republic of",Monday - Friday,none
385,logo-385.png,CÔNG TY TNHH NHA KHOA MY AURIS,Ho Chi Minh,Product,18264,Vietnam,Monday - Friday,No OT
386,logo-386.png,Ngân Hàng TMCP Sài Gòn (SCB),"District 5, Ho Chi Minh",Product,1000+,Vietnam,Monday - Saturday,Extra salary for OT
387,logo-387.png,Serdao,"Ho Chi Minh, Ha Noi",Outsourcing,51-150,France,Monday - Friday,No OT
388,logo-388.png,2359 Media Viet Nam,"District 10, Ho Chi Minh",Outsourcing,51-150,Vietnam,Monday - Friday,Extra salary for OT
389,logo-389.png,Hung Thinh Corporation,"District 3, Ho Chi Minh",Product,1000+,Vietnam,Monday - Saturday,No OT
390,logo-390.png,CARE CONNECT VIETNAM,"District 1, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,Extra salary for OT
391,logo-391.png,Artstuff,"Tan Binh, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,No OT
392,logo-392.png,AdStart Media Pte Ltd,"District 2, Ho Chi Minh",Product,18264,Singapore,Monday - Friday,No OT
393,logo-393.png,Vulcan Labs,"Thu Duc, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
394,logo-394.png,BRICKMATE GROUP VIETNAM,"District 10, Ho Chi Minh",Outsourcing,51-150,"Korea, Republic of",Monday - Friday,No OT
